team,elo_rating
Argentina,2054.585627426899
Spain,2047.3746656466753
France,1975.5411238383451
Brazil,1955.253818855975
Germany,1946.3528381583953
England,1946.0589589069555
Portugal,1932.7001468261153
Netherlands,1921.6274966837807
Colombia,1917.3359655582062
Italy,1907.486675895232
Japan,1889.0505496488663
Croatia,1873.9036129404894
Iran,1865.6806726801588
Uruguay,1862.5249117506596
Ecuador,1861.7567287328275
Denmark,1851.343725666257
Belgium,1849.802199666458
Morocco,1820.8729408566232
Austria,1816.0115566890954
Serbia,1810.7879740925287
Mexico,1809.287793322394
South Korea,1808.5452399302826
Turkey,1800.1392139327322
Switzerland,1797.164984350505
Russia,1789.1024037601783
Canada,1785.4975068601545
Ukraine,1785.3029950436344
Basque Country,1779.482789846404
Algeria,1778.7598763841265
United States,1777.6705089794837
Norway,1777.4567335934594
Senegal,1777.351840275521
Australia,1776.9510964411693
Jersey,1768.6426192085157
Greece,1766.7356297710764
Czech Republic,1765.2972693421493
Paraguay,1764.9716996463212
Uzbekistan,1757.7401149319578
Egypt,1757.1636981727113
Sweden,1756.1421995213768
Poland,1755.4436166018763
Slovenia,1754.9181207226848
Hungary,1751.3355751625713
Wales,1748.7444863186374
Venezuela,1738.015349838711
Scotland,1736.3296786321955
Peru,1734.5236120506397
Ivory Coast,1721.288371188798
Chile,1717.1976021284788
Tunisia,1706.0316275592343
Panama,1702.4211040113698
Czechoslovakia,1700.9049987095793
Catalonia,1697.5416962782758
Georgia,1692.5369467252121
German DR,1691.41298880601
Slovakia,1690.000842368253
Jordan,1688.8655870255275
Yugoslavia,1687.5071790188222
Guernsey,1683.971794930964
Costa Rica,1682.9826799949294
Romania,1675.883217370051
New Zealand,1673.8477951355023
Republic of Ireland,1671.9768326949936
Cameroon,1663.762733268423
Iraq,1662.5700505825557
Mali,1650.165607420487
Qatar,1647.082480430723
Nigeria,1646.1759928210342
South Africa,1644.3391003803422
Oman,1639.9743527556025
Saudi Arabia,1634.4944939069221
United Arab Emirates,1633.300509351158
Padania,1632.513396916656
Albania,1631.7226231493016
Jamaica,1630.4048989174478
Occitania,1629.3342170965668
DR Congo,1626.809747003527
Northern Cyprus,1626.2596474002198
Ynys Môn,1626.2281520857518
Andalusia,1622.805595284616
North Macedonia,1622.5290096737413
Isle of Man,1621.4410822053237
Isle of Wight,1620.4633196690847
Haiti,1614.3302985715056
Burkina Faso,1613.9627564069524
Kosovo,1610.9824443220377
Bolivia,1609.924683648486
Israel,1609.7031626072308
Bahrain,1601.4034341376698
Kernow,1598.905415365883
Cape Verde,1595.7841774099677
Bosnia and Herzegovina,1594.2556954088877
Iraqi Kurdistan,1592.9596897546348
Honduras,1592.7221778014825
Abkhazia,1591.5267137545334
Northern Ireland,1579.6685834385482
Iceland,1579.357079192374
Guatemala,1578.4158653822617
Ghana,1576.8555777297645
Montenegro,1576.2024686015727
Angola,1574.7641312240153
Finland,1573.4125864069001
Rhodes,1572.8195879966318
Corsica,1572.4703737144023
County of Nice,1569.5351288552586
Kárpátalja,1565.59919344635
Equatorial Guinea,1564.7124513121407
Trinidad and Tobago,1557.302331694226
Yorkshire,1555.3670322109692
Ellan Vannin,1553.9499383865516
Réunion,1553.5364347711427
Gabon,1551.547544424117
Galicia,1548.1705479849581
Artsakh,1547.3753544053686
New Caledonia,1542.2942669294744
Bulgaria,1535.5679585830408
Arameans Suryoye,1534.8703015641672
Vietnam,1531.060964547268
Panjab,1530.5437889495722
Maule Sur,1528.6802751485857
Cascadia,1528.4170649850275
Brittany,1527.8435232852019
China PR,1526.3268147776678
Thailand,1525.036330392024
Menorca,1524.1856215411972
Guadeloupe,1522.627970204919
Guinea,1521.4493250986527
Zambia,1520.9500702014489
Canary Islands,1520.5853945287824
Suriname,1520.4919716140973
Mozambique,1517.724346076653
Silesia,1516.9687440882033
Biafra,1516.3109402115203
Asturias,1516.264255770038
Belarus,1516.1236673065634
Chameria,1515.5994589250838
Zanzibar,1515.537295091095
Surrey,1513.6103597024974
Parishes of Jersey,1513.5328542763043
Fiji,1513.293834886398
Tahiti,1510.1133551932282
Elba Island,1510.1055512016226
Crimea,1507.0263211787383
Donetsk PR,1506.9507403738269
Syria,1506.9475552506142
Palestine,1506.9219998628278
Felvidék,1506.5465046115705
Franconia,1504.2231753702488
Central Spain,1501.2100448127965
Luxembourg,1501.1316321854235
Mapuche,1500.6471999915343
Tamil Eelam,1500.5703229800731
Matabeleland,1499.8740322622928
Saugeais,1498.1235790819405
El Salvador,1498.0622495127266
Kuwait,1497.0209920945242
Délvidék,1496.5392749556045
United Koreans in Japan,1496.3438337228758
West Papua,1494.6878241264199
Sealand,1494.1921602268962
Libya,1493.6414345569817
North Korea,1493.0634619689565
Western Sahara,1490.0830665233798
Madrid,1489.69408417194
Kazakhstan,1488.902104147589
Shetland,1488.4840001537443
Martinique,1488.2233300584198
South Ossetia,1486.9956358288764
Uganda,1486.7334304839096
Åland Islands,1486.0985132672972
Malaysia,1486.0696379969218
Cilento,1485.8884485274734
Luhansk PR,1485.6808210841798
Western Armenia,1485.4693785164836
Ryūkyū,1484.6619865515338
Yoruba Nation,1484.3770179223156
Gozo,1484.3284263283194
Somaliland,1484.0663633469087
Seborga,1484.0623977745888
Sudan,1483.742894922328
Benin,1482.823213083098
Comoros,1481.8456606967534
Indonesia,1481.6910363349302
Republic of St. Pauli,1480.042405586968
Solomon Islands,1478.4986138137203
Hmong,1477.5546401751324
Kenya,1477.4818464632754
Niue,1476.407337843477
Dominican Republic,1475.058985236927
South Yemen,1474.8490877429451
Székely Land,1474.0950133412557
Kabylia,1472.2713669603309
Chechnya,1471.3654151206028
Kyrgyzstan,1470.8545563716757
Aymara,1470.67252485988
Togo,1470.5558525455826
Zimbabwe,1470.4565799379707
Romani people,1468.6170207563648
Armenia,1468.0873591217432
Greenland,1467.4336641427076
Estonia,1466.7657362351242
North Vietnam,1466.0737666422483
Monaco,1465.561021220878
Mauritania,1464.15945770998
Curaçao,1462.6381312161213
Nicaragua,1461.4728266226766
Sápmi,1461.3738981975237
Ticino,1461.3695126620614
Botswana,1460.554828114625
Western Isles,1459.7232296262425
Gambia,1459.595711860977
Palau,1458.9133923532181
Namibia,1457.9154344952076
Tajikistan,1457.5945524164263
Găgăuzia,1456.4580018096883
Manchukuo,1453.6930112754933
Rwanda,1453.2092412461466
Azerbaijan,1453.035549148114
Saarland,1451.562266018854
Provence,1448.4511268874887
Two Sicilies,1445.5761722747604
Madagascar,1445.2784252418435
Sierra Leone,1441.9716472135117
Sark,1441.260476911439
Lebanon,1440.4725972681492
Gotland,1438.410787486789
Mayotte,1432.455846548666
Vatican City,1432.173060470426
Vanuatu,1432.0417028952847
Barawa,1431.6935468551717
Burundi,1430.3573186130707
Tanzania,1430.0846271964645
Ambazonia,1429.4123786259381
Guyana,1425.116144634359
Saint Barthélemy,1424.9574863154423
Guinea-Bissau,1422.2758255409371
Vietnam Republic,1419.108679983754
Micronesia,1418.3226815184544
Cuba,1416.6364907432012
Raetia,1415.3305823131486
Western Australia,1413.838031221345
Moldova,1413.4909040818627
French Guiana,1408.9379020709243
Darfur,1407.627223366949
Cyprus,1406.2576219160633
Malawi,1404.8803838333013
Yemen DPR,1404.4380417848604
Papua New Guinea,1400.5996087136757
Saint Pierre and Miquelon,1399.3700074804312
Congo,1399.1094277470902
Saint Helena,1398.5429147308798
Central African Republic,1398.1345522371678
Ethiopia,1397.2640672678945
Orkney,1393.5150290904721
Malta,1392.3218581946196
Chagos Islands,1392.0659269954597
India,1391.124936130401
Hitra,1385.8393223574312
Latvia,1381.1326021624404
Hong Kong,1371.7945185990163
Turkmenistan,1370.4382404133885
Lithuania,1369.652529825132
Kiribati,1368.5962599664992
Bermuda,1367.1709157875907
Saint Kitts and Nevis,1364.4167769782255
Saare County,1362.6128587741505
Saint Vincent and the Grenadines,1359.6952527234203
Lesotho,1355.698441184919
Puerto Rico,1355.3476963984929
Wallis Islands and Futuna,1353.4724724699527
Liberia,1351.0053817532178
Niger,1347.3351130055062
Belize,1345.1350522651512
Faroe Islands,1342.646214114812
Eswatini,1334.6402514974088
Tibet,1334.4154698815298
Saint Lucia,1333.895819733741
Philippines,1329.6614932989971
Singapore,1327.5990558814287
Samoa,1323.897346565284
Frøya,1320.8354157834203
Sint Maarten,1318.0093844985408
Tuvalu,1314.1646526113539
Saint Martin,1300.3816308760433
Falkland Islands,1299.292224865253
Chad,1296.2631270853642
Grenada,1295.2605091900398
Montserrat,1289.0200905027966
Yemen,1287.5376246833957
Bonaire,1282.916525493497
South Sudan,1281.6180417718886
Cook Islands,1265.7079210263394
Afghanistan,1264.540635729947
Dominica,1263.2443164281526
Mauritius,1255.5536208617114
Antigua and Barbuda,1254.5326896575477
Gibraltar,1254.2574512077242
Eritrea,1253.2229924945088
Barbados,1238.0677785474254
Taiwan,1234.4116526318385
Nepal,1229.4751773516832
Myanmar,1225.3170058012997
Aruba,1221.7103131798692
Cayman Islands,1215.4625619072406
São Tomé and Príncipe,1206.9922752672187
Andorra,1205.4897088212867
Bahamas,1205.398578357935
Tonga,1202.733376327734
Bangladesh,1197.9727031510627
Turks and Caicos Islands,1182.834969811698
Maldives,1173.6860031372928
American Samoa,1158.5171600510907
Northern Mariana Islands,1157.7990357295364
Djibouti,1150.620317146889
Alderney,1149.9889465339024
Cambodia,1140.5795077131556
Liechtenstein,1120.1065102712153
Mongolia,1112.9238384738346
Guam,1106.9676764528326
Seychelles,1100.5874702000945
Somalia,1093.233902219522
Pakistan,1089.0621309398673
British Virgin Islands,1088.566911008349
United States Virgin Islands,1082.2584062216638
Sri Lanka,1079.3170268794775
Brunei,1063.134618036767
Laos,1061.388990042553
Anguilla,1060.1264833186362
San Marino,1035.7036887994097
Bhutan,1016.7438903495947
Macau,1010.5713595311233
Timor-Leste,992.1121343652546
